ID,Group,Diet,Srebp1c,Scd1,Acc1,Fasn,Acly,Acta2,Col1a1,Col3a1,Tgfb1,Timp1,Il1b,Tnf,Arg1,F4/80,Ccl2,Ccr2,Nlrp3,Ahr,Cyp1a2
8791,Ahrfl/flxLysMCre-,CH-WD,4.006533583,2.237837442,1.098993193,0.779841275,0.522764969,1.399137748,1.013318994,0.751600754,1.802246407,0.446528766,0.780361004,0.648260428,0.467221568,0.741832439,0.25626464,0.898798053,0.420128561,0.613478415,1.316011138
8821,Ahrfl/flxLysMCre-,CH-WD,3.214425075,1.867027485,1.313605815,1.1930802,0.585867722,1.783077719,3.328967209,2.078570322,1.880067812,2.41458441,1.508917795,2.65287678,0.70773201,2.182879024,0.941911666,3.150138158,2.091249047,0.560648785,1.225491296
8831,Ahrfl/flxLysMCre-,CH-WD,1.283714879,1.168774982,0.544241504,0.326333577,0.236317609,1.073200815,1.026831914,1.547501665,1.212278678,1.740279367,1.716341576,0.65608368,0.86689898,1.524722069,0.710321433,2.95646626,1.260576792,0.300249097,0.555022384
5011,Ahrfl/flxLysMCre-,CH-WD,1.732654444,1.971364187,0.800526741,0.75907326,0.427479838,1.817181908,0.622476055,0.798166035,1.175697304,0.360737163,1.144309893,0.890073943,0.45387137,1.411272821,0.292782121,0.983554327,1.106154638,0.741572992,0.897286331
5021,Ahrfl/flxLysMCre-,CH-WD,4.570274176,5.001112622,2.651399674,3.869382946,2.242159602,3.322987649,0.858790989,1.116941404,1.699211992,0.24530544,0.278536426,,0.909962038,1.321179866,0.504671019,0.799081751,1.327093788,0.373521179,0.884035755
5032,Ahrfl/flxLysMCre-,CH-WD,14.27829175,4.603575017,6.690533997,3.771087931,2.018805275,1.807947618,0.532165675,0.904695381,1.407820593,0.514620491,1.828794852,3.284299941,1.315333532,1.516688194,,2.292579021,3.299439286,1.67500979,1.59395861
7211,Ahrfl/flxLysMCre-,CH-WD,1.072634149,2.361085256,1.339754888,0.444410417,0.358898562,1.797516941,0.661269142,0.483416541,1.131560865,0.988154628,1.194191054,0.850613698,0.802013716,1.404804944,1.186008657,3.476568969,1.282863632,1.207515406,0.664479452
5511,Ahrfl/flxLysMCre-,CH-WD,2.615026396,2.408208376,1.476947838,0.959992008,0.556633291,2.948219511,1.819127396,0.969389709,1.686065029,0.954712032,1.251530148,1.244688414,0.870939214,2.357204278,0.899641086,2.030149521,1.803385096,1.254791388,0.960638483
1152,Ahrfl/flxLysMCre+,WD-WD,7.687001271,5.540521912,1.789064509,2.853961866,1.242714832,3.856395868,1.449498254,0.955044893,2.218227545,0.264297583,1.097838784,1.110634821,0.589769878,1.368601613,0.316159802,1.205743287,1.065075151,1.244948536,1.174873134
4491,Ahrfl/flxLysMCre+,WD-WD,3.314208452,3.94220194,1.144458081,1.219072282,0.561348625,1.254863802,2.072878282,1.472424985,1.183629407,0.639036051,0.641483244,0.941792992,0.595768539,0.967430234,0.25228464,1.242884828,0.879792732,0.409541639,0.959660973
2452,Ahrfl/flxLysMCre+,WD-WD,4.973936959,3.264385833,1.591178914,1.47939578,0.914020849,2.866177135,1.64330261,1.029940865,4.15630259,1.518300813,2.148615942,7.700571621,0.514122153,3.783648058,1.646260126,4.379489232,4.85278792,0.836808375,1.285480619
4492,Ahrfl/flxLysMCre+,WD-WD,4.534341001,4.580647526,1.711636069,1.893849609,1.035287386,1.295633031,2.085152167,1.804216782,1.581207751,0.510708701,0.993802734,1.463213364,0.831444132,1.091140859,0.758743115,2.616113241,1.661486737,0.943998737,0.83038204
5061,Ahrfl/flxLysMCre+,WD-WD,2.547804457,2.890064843,1.453937542,1.391776602,0.609018893,1.147882154,1.53629776,0.917977451,1.475640472,1.764114967,1.408541805,1.310051767,0.674061925,1.259232217,0.724958112,2.687476116,1.412343677,1.196373257,1.109486897
5072,Ahrfl/flxLysMCre+,WD-WD,2.238762604,1.475197381,1.771728799,0.810059698,0.597890143,2.293517866,1.058894087,1.041829504,1.348226302,0.54391709,1.747220953,1.306986283,0.726420363,1.145989094,1.438153247,2.651173409,1.555133766,1.15199287,0.896285478
5091,Ahrfl/flxLysMCre+,WD-WD,1.797620344,2.116083766,0.996962301,1.074738511,0.604955943,2.408270872,0.486835899,1.357141178,0.527261832,0.879892864,0.641809841,0.947185419,0.62941303,0.649206803,0.410885444,0.83236884,0.629406978,0.346498457,1.016474275
7503,Ahrfl/flxLysMCre-,WD-WD,3.684794378,5.091335288,1.659964284,0.987685255,0.715396904,5.106523979,3.336523726,1.734827419,2.792772418,4.353793849,1.906890142,8.042578902,0.696432758,4.35257488,2.256047458,4.999677666,5.039568061,0.935424222,1.310058211
2431,Ahrfl/flxLysMCre-,WD-WD,3.700964388,3.389928738,2.185663723,1.256292181,0.694371804,1.714980827,2.295167554,1.333363841,1.524133515,0.531808733,0.688151912,1.263605856,0.641922814,2.375422658,0.314825695,1.61004704,1.499943316,1.182283916,1.399749542
5062,Ahrfl/flxLysMCre-,WD-WD,2.659789459,3.385973676,1.358912958,1.503944882,1.017391736,5.859816813,1.075928982,0.787660233,1.177416903,0.794621306,1.025900456,1.086417438,0.685974721,0.618923389,0.529746418,1.741766201,0.659564737,0.876896802,1.307785254
5071,Ahrfl/flxLysMCre-,WD-WD,2.152694955,2.070552932,1.222652085,1.027487989,0.826795673,3.475715033,0.923017301,0.555249425,1.27852193,0.251709581,1.914946738,0.510447992,0.612230042,0.798769888,0.887857729,2.029304235,1.639567684,1.36572836,1.028844434
5092,Ahrfl/flxLysMCre-,WD-WD,3.411501074,3.476059093,1.690471774,2.145246959,1.53971072,1.588657868,1.451510851,1.141433944,1.639036165,1.695015876,0.616493321,2.613469786,0.628340912,0.858902482,0.993629344,2.93082004,1.701737223,1.176415221,1.236113536
7761,Ahrfl/flxLysMCre-,WD-WD,2.485052341,2.512476021,1.56798744,0.949376698,0.961662257,3.453385711,1.083001825,0.794881537,2.128128524,0.190428384,0.936909619,1.326459434,0.450866405,1.849579772,0.534490083,0.747772765,1.3971484,0.905955135,1.401757617
